Link,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=f7cfe0cad1c284d0,ML Engineer,,,게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=51df90967b46e8f0,[외국계 스타트업 미소] Business Analyst,,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>데이터베이스...
https://kr.indeed.com/viewjob?jk=e30fe92d72ceb17c,"자율 주행, 로봇 SW 개발자",,,"(주)에바 모집부문 및 자격요건 모집부문 담당업무 자격요건 인원 자율주행 SW 엔지니어 Python응용SW [담당업무]ROS 개발, 로봇 주행 알고리즘 개발, SW Optimization[근무부서 및 직급/직책]근무부서: 개발팀..."
https://kr.indeed.com/viewjob?jk=a0eabf1d7fee2929,System Engineer,,,분석·설계>시스템엔지니어|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>네트워크·서버·보안>UNIX·LINUX계열 서버운영·관리
https://kr.indeed.com/viewjob?jk=444bd32c9e95004a,[대형증권사] IT퀀트 개발자,,,"로세스에 대한 이해학력사항: 대학교(4년)졸업 - 이공계 전공, C#, Python,JavaScript,SQL 사용 가능 우대 0 명 근무조건 고용형태... 통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임..."
https://kr.indeed.com/viewjob?jk=f54bac6c78fd3240,코딩에 빠진 수퍼 개발자 (펌웨어 개발),,,"학력무관직무기술: 펌웨어(Firmware), Embedded System S/W 개발(판교) c/c++, Python 3 명 근무조건 고용형태: 정규직근무부서: 개발팀급여조건: 연봉 협의 후 결정 전형단계 및 제출서류 전형단..."
https://kr.indeed.com/viewjob?jk=4f59cedc2219d55c,KAIST연구원 산하 KAIST바이오융합연구소 소속 전문연구요원(연수연구원) 모집 공고,,,"및 모델링 3. Matlab 과 python 을 활용하여 신경 신호 분석용... 자 ( 면접전형 만점 의 20% 가산점 부여 ) - Matlab, python 과 같은 컴퓨터 분석 프로그램 활용 기술 보유자 ( 면접전형 만점의..."
https://kr.indeed.com/viewjob?jk=ae82262549135b20,"Student Researcher Intern, 2022",,,"programming languages, including: C/C++, Java, MATLAB, Go, Python, or similar.Ability to speak and write in English fluently..."
https://kr.indeed.com/viewjob?jk=aade49a93e474ed7,UX Researcher (정량/포트폴리오 없는 전형),,,니터링|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>ERP...
https://kr.indeed.com/viewjob?jk=8e60094702b4fe05,웹시스템 및 솔루션 분야 프로그래머 및 웹퍼블리셔,,,"년 이하)학력사항: 대학(2,3년)졸업 이상직무기술: 웹프로그래밍, 웹개발, 자바, JQUERY, AJAX, PYTHON, 리눅스, SPRING, JAVASCRIPT, MYSQL, MYBATIS, 응용프로그래밍, 응용프로그램..."
https://kr.indeed.com/viewjob?jk=4ae5eb5bb613a826,[클라우드플랫폼실] System Engineering팀 클라우드 엔지니어,,,라우드|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>통신·모바일>플랫폼(VM)|인터넷·IT·통신·모바일·게임>ERP·시스템분석...
https://kr.indeed.com/viewjob?jk=5ab0b45dfa93411b,Data Engineer 신입사원,,,"분류, 개인정보 비식별화, 불량 코퍼스 필터링 등 다양한 ML 프로젝트 (예정)[자격요건]- Julia / Python / R 중에서 자신 있는 프로그래밍 언어가 있는 분- 하나의 데이터도 놓치지 않고 꼼꼼하게 관리할 수..."
https://kr.indeed.com/viewjob?jk=358f413532f53323,[국비무료]2022년도 상반기 교육 훈련생,,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
https://kr.indeed.com/viewjob?jk=cda94f202f9ca369,슈어소프트테크(주) 2022년 상반기 경력직 대규모,,,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 용프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>가상현실(VR)|인터넷...
https://kr.indeed.com/viewjob?jk=1015284880e2ff62,라인프렌즈 2022년 각 부문 수시,,,통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임... 자바스크립트|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|마케팅·광고·홍보·조사>마케팅>마케팅기획|마케팅·광고·홍보·조사>마케...
https://kr.indeed.com/viewjob?jk=e9488a828bb2c806,Data Engineer,,,다립니다. 인터넷·IT·통신·모바일·게임>응용프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>ERP...
https://kr.indeed.com/viewjob?jk=6bdb3ae5f5c8c0bd,AI Agent 서비스 Data 분석 개발자,,,"분석 경험Java & Spring Framework 기반 서비스 개발 경험ML/DL 기반 모델 개발 경험 Python, R, Presto, SQL(고급) 기반의 분석 역량신규 Data, 인터넷·IT·통신·모바일·게임>빅데이터..."
https://kr.indeed.com/viewjob?jk=33b9259fb2f35050,UX Researcher - NPE Korea,,,"early stage, zero to one products Experience using SQL/Hive, Python... R Experience with applied statistics Willingness..."
https://kr.indeed.com/viewjob?jk=2e50d0e0b23c8f47,데이터분석가 - Global Leading Consulting Firm,,,모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|마케팅·광고·홍보·조사>조사·분석...
https://kr.indeed.com/viewjob?jk=019b28cc5f5e508c,2022 R&D 신입사원,,,"보유자 (Business) - 광학 Simulation Tool 유경험자 - 프로그래밍 (LabView, Python 등) 역량 우수자 - Data Tool 역량 우수자 담당업무 - 직무소개서 참고 필수조건 - 이공계 전공..."
https://kr.indeed.com/viewjob?jk=9cfce6a40920af43,Data Engineer (Analytics Product),,,데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷... 로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
https://kr.indeed.com/viewjob?jk=5ea9ea023c6ccc03,"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",,,"케이션 제작 및 유지보수 업무- Python, Golang, QT 중 선택... 2. 시스템프로그래머- Python, Golang, QT 중 선택 가능3. 영상데이터 분석 및 모델링- python기반 영상데이터 분석 및 모델링..."
https://kr.indeed.com/viewjob?jk=600aa8698e1786c4,(주)KB저축은행 상반기 신입 및 경력직,,,"운영 가능한 자 데이터 수집, 활용하여 비즈니스 인사이트 도출, 실행 경험 데이터 분석 가능자(SQL, Python 등) 금융·보험·증권>금융사무·심사·추심>기업금융|금융·보험·증권>금융사무·심사·추심>금융사무(텔러)|금융..."
https://kr.indeed.com/viewjob?jk=abdc136f65ceddd4,AI 분야,,,"무를 경험하면서 조직과 함께 성장하고 싶으신 마인드를 보유하신 분 - Python 및 PyTorch, Tensorflow 등과 같은 딥러닝 프레임워크... 경력자 가능 - C/C++, Python, 딥러닝 프레임워크(PyTorch..."
https://kr.indeed.com/viewjob?jk=46253fd5b203d931,"[로봇개발본부(판교근무)] 각 분야별 (백엔드, WEB APP 개발, APP 개발)",,,게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
https://kr.indeed.com/viewjob?jk=40de6a4b81f8724f,[전문연구요원 신규편입/전직] 의료영상/음성인식/생체신호 연구원,,,인공지능)>텍스트마이닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝
https://kr.indeed.com/viewjob?jk=4a3c096c3da9117c,Datacenter Engineer (chuncheon),,,"Base Operating System Install • Some experience with Perl, Python, Bash or Java • Core OS Services: ssh, telnet, ftp, nfs..."
https://kr.indeed.com/viewjob?jk=87309d3ff40ead61,딥러닝 AI 개발 연구원,,,시스템프로그래머>임베디드(Embedded)|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
